,index,geometry,center_of_mass,tipologia,DESIGNACAO,coordinates,freguesia,concelho,cidade
188,623,"[[[-9.1095769786011, 38.7682832574529], [-9.1095925042325, 38.7682979065621], [-9.10960483805298, 38.7683142971922], [-9.10960634632434, 38.7683167282889], [-9.1096148183358, 38.76833037983], [-9.10962997740622, 38.7683548063535], [-9.10963995858733, 38.7683708882818], [-9.10968596670294, 38.7684450208742], [-9.10971110785278, 38.7684855299613], [-9.10972410647494, 38.7685069426085], [-9.1097503866886, 38.7685556407379], [-9.10975167756766, 38.7685581467691], [-9.10975494923192, 38.7685642185364], [-9.10976303496779, 38.7685811261888], [-9.10978647021691, 38.7686338991905], [-9.10978993591728, 38.7686425049955], [-9.10979140735772, 38.768646161079], [-9.1097927341694, 38.7686513104133], [-9.10979341688899, 38.7686539593225], [-9.10979665711223, 38.7686665279824], [-9.10980088458397, 38.7686859626492], [-9.10980187542573, 38.7686958179592], [-9.10980329296725, 38.768709923286], [-9.10980390292331, 38.768722753885], [-9.10980317618626, 38.7687359500896], [-9.10979916161523, 38.7687612568746], [-9.1097868331363, 38.7688148302974], [-9.10977168125239, 38.768867941418], [-9.10975756063445, 38.7689145983456], [-9.10971967328904, 38.7690161270485], [-9.10966817916198, 38.7691325431909], [-9.1096204606541, 38.7692198662043], [-9.10960881938631, 38.7692411665681], [-9.10956067867026, 38.7693212172735], [-9.10954427812812, 38.7693484898519], [-9.10954239256431, 38.7693515617722], [-9.10953892686398, 38.76935602257], [-9.10953417028455, 38.7693611879619], [-9.10953190653003, 38.7693633080488], [-9.10947998121164, 38.7694050177862], [-9.10946388789334, 38.7694243724073], [-9.10946214156841, 38.7694267033101], [-9.1094347977495, 38.7694632252137], [-9.1094201992278, 38.769482723399], [-9.10941518303527, 38.7694894338441], [-9.10934480542264, 38.7695834192303], [-9.10929257737203, 38.7696531745309], [-9.10926270120229, 38.769693077796], [-9.10925941443282, 38.7696968993156], [-9.10925554342612, 38.7697003723455], [-9.10924964314629, 38.769704330589], [-9.10924298781875, 38.769707477794], [-9.10923575893031, 38.7697097281382], [-9.10923351673535, 38.7697102163091], [-9.10920181249403, 38.7697164630755], [-9.10914413975448, 38.7697283584749], [-9.10913738398835, 38.7697312178648], [-9.10913131244221, 38.7697348936401], [-9.10912608587449, 38.7697392884757], [-9.10912184267082, 38.769744286008], [-9.10910823948247, 38.7697635263737], [-9.10909614546378, 38.7697807650254], [-9.10909231504743, 38.7697860536549], [-9.10890388533173, 38.7700525892885], [-9.10887339022279, 38.7700957253069], [-9.10883531872274, 38.7701499497854]]]",[-9.1094997  38.76914171],Pista Ciclável Bidirecional,Rua Contra-Almirante Armando Ferraz,"(38.769141713134815, -9.109499699054771)",Olivais,Lisboa,Lisboa
189,633,"[[[-9.16079890801675, 38.7741365739683], [-9.16081669286272, 38.7741329952041], [-9.16091112286707, 38.7741141979349], [-9.16095727561145, 38.7741036479304], [-9.16102112157362, 38.7740875350786], [-9.1612334312045, 38.7740141255045], [-9.16130919781052, 38.7739879283413], [-9.16156988351609, 38.7738971031236], [-9.16158638556783, 38.7738913483674], [-9.16159029196509, 38.7738900318129], [-9.16159385603751, 38.7738882186136], [-9.16159697486829, 38.7738859611276], [-9.16159955839753, 38.7738833245425], [-9.16160153202277, 38.7738803849927], [-9.16160283875328, 38.7738772273613], [-9.16160344085566, 38.7738739428284], [-9.16160332094351, 38.7738706262388], [-9.16160248247942, 38.7738673733629], [-9.16159031210394, 38.7738467460143], [-9.16152699974105, 38.7737417224409], [-9.16149982121213, 38.7736935797272], [-9.16149739756872, 38.7736886633098], [-9.1614960763412, 38.7736834979951], [-9.16149589566121, 38.7736782328582], [-9.16149686074333, 38.7736730198549], [-9.16149894373453, 38.7736680094367], [-9.16150208451808, 38.773663346208], [-9.16150619244854, 38.7736591647533], [-9.16151114896786, 38.7736555857528], [-9.16157445953413, 38.7736333398337], [-9.16173837242908, 38.7735746406609]]]",[-9.16143654 38.77384329],Pista Ciclável Bidirecional,Alameda das Linhas de Torres,"(38.773843293392886, -9.161436544527655)",Lumiar,Lisboa,Lisboa
190,642,"[[[-9.21754645379675, 38.6932222384609], [-9.2174738815999, 38.6932009925438], [-9.21733076654861, 38.6931636113843], [-9.21718603350861, 38.6931302402568], [-9.21703986685858, 38.6931009216791], [-9.21689484420454, 38.693080728782], [-9.21674879820889, 38.6930656855622], [-9.21660202888742, 38.6930558229257], [-9.21659135097579, 38.6930558110715], [-9.21658080176161, 38.693057101177], [-9.21657064022505, 38.6930596615706], [-9.2165611158289, 38.6930634293951], [-9.21655246239432, 38.6930683121513], [-9.21654489236065, 38.6930741899688], [-9.21653859157001, 38.6930809185487], [-9.21653371470501, 38.6930883327059], [-9.21640457649304, 38.6932845164043], [-9.21639328756607, 38.6932934372533], [-9.21638020391918, 38.6933007128673], [-9.21636571410976, 38.693306127176], [-9.21635024845534, 38.6933095193861], [-9.21633426625405, 38.6933107887561], [-9.21616017005704, 38.6933264031005], [-9.21597322647096, 38.6933453494347], [-9.21578688861545, 38.6933676363121], [-9.21555811334369, 38.6933977276161], [-9.21532885741503, 38.6934255011727], [-9.2151415960227, 38.6934428844963], [-9.21495391049692, 38.6934572128914], [-9.21489691329045, 38.6934588135865], [-9.21468850144958, 38.6934625282085], [-9.2146585961169, 38.6934625098876], [-9.21462897574761, 38.6934592952817], [-9.2146001984699, 38.6934529449623], [-9.21457280652584, 38.6934435785859], [-9.21452171984194, 38.6934237531899], [-9.21446851354879, 38.6934076789826], [-9.21441363865228, 38.6933954922204], [-9.21435756030228, 38.693387296207], [-9.21430102087145, 38.6933738969436], [-9.21424576788136, 38.6933575522255], [-9.21419205289769, 38.693338336468]]]",[-9.2158327  38.69327523],Pista Ciclável Bidirecional,Jardim Torre de Belém,"(38.69327522599524, -9.215832704005951)",Belém,Lisboa,Lisboa
191,643,"[[[-9.15823448108697, 38.7347155137895], [-9.15823361061945, 38.7347012006337], [-9.15822923582402, 38.7346922985305], [-9.15822504158994, 38.7346862575167], [-9.15821622372713, 38.7346759679612], [-9.15820927076683, 38.7346685219772], [-9.15819544030472, 38.7346589899113], [-9.15818716502432, 38.7346547736026], [-9.15817247397616, 38.7346488243816], [-9.15815319433352, 38.7346411282331], [-9.15812665091351, 38.7346311533003], [-9.15805334389474, 38.7346036922714], [-9.15497113432341, 38.7338982844821]]]",[-9.15793902 38.73460589],30+Bici,Rua Fialho de Almeida,"(38.734605892814706, -9.157939020491133)",São Sebastião da Pedreira,Lisboa,Lisboa
192,655,"[[[-9.15803563450723, 38.7352305171078], [-9.1544444332077, 38.7344318281333]]]",[-9.15624003 38.73483117],30+Bici,Avenida Ressano Garcia,"(38.73483117262055, -9.156240033857465)",São Sebastião da Pedreira,Lisboa,Lisboa
193,662,"[[[-9.16376943364208, 38.735105765858], [-9.16380180892491, 38.7351131108916], [-9.16385456134534, 38.7351266608843], [-9.16390569512018, 38.7351435700526], [-9.16395485939145, 38.7351637223709], [-9.16399036440473, 38.7351809455556], [-9.16404316734181, 38.7352113786616], [-9.16409191445601, 38.7352456829422], [-9.1641350869492, 38.7352842250188], [-9.16417415225049, 38.7353253469206], [-9.16420885803803, 38.7353687830378], [-9.16421991907857, 38.7353862502516], [-9.16422914828533, 38.7354043532676], [-9.16425098716776, 38.735445622047], [-9.1642768703865, 38.7354854425621], [-9.16430913101117, 38.73552986352], [-9.16434540568622, 38.73557235855], [-9.16438550634876, 38.7356127073441], [-9.16442095925977, 38.735644569927], [-9.16442892641648, 38.7356515159805], [-9.16443799094058, 38.7356575884962], [-9.16444799675318, 38.7356626829138], [-9.16456838986588, 38.7357188206005], [-9.1647142053011, 38.7357864122395], [-9.16474665873737, 38.7358001870237], [-9.16500636168601, 38.7358946575305], [-9.16530552672678, 38.736003555728], [-9.16535902352833, 38.7360248258035], [-9.16540892345059, 38.7360508777631], [-9.16545452730982, 38.736081346569], [-9.16549519611754, 38.7361158052956], [-9.16553217628926, 38.7361546950055], [-9.1655642119532, 38.7361961684045], [-9.16559100862912, 38.7362398442541], [-9.16564229344868, 38.7363568898516], [-9.16569389717018, 38.7364748861274], [-9.16575117554934, 38.7366066547348], [-9.16580781253137, 38.7367360455823], [-9.16582923645259, 38.7367868598188], [-9.16585693171641, 38.7368315879444], [-9.16588926681356, 38.7368743796771], [-9.1659260209413, 38.7369149428139], [-9.16597840529877, 38.736960239532], [-9.16599037378777, 38.7369700909878], [-9.16600392553768, 38.7369786037399], [-9.16608493650829, 38.7370255547926], [-9.16611181462182, 38.7370361797344], [-9.16614027811971, 38.7370438937582], [-9.16618943932193, 38.7370556145214], [-9.16623896566376, 38.7370629868606], [-9.16628931671019, 38.7370650446647]]]",[-9.16501673 38.73602294],Pista Ciclável Bidirecional,Monsanto - Avenida Calouste Gulbenkian,"(38.736022937223794, -9.165016726333075)",Campolide,Lisboa,Lisboa
194,666,"[[[-9.13677319714671, 38.7360470816063], [-9.13683165770875, 38.7360124884994], [-9.13696833278597, 38.7359311629598], [-9.13710469974106, 38.7358494988794], [-9.13718638893971, 38.7358003958387], [-9.1372692836775, 38.7357525449544], [-9.1373541583022, 38.7357067772856], [-9.13744152844673, 38.735663999572], [-9.13753009245227, 38.7356226779355], [-9.13762061119186, 38.7355836721667], [-9.13771279989959, 38.7355474776812], [-9.13780672954233, 38.735514034221], [-9.13790167428132, 38.7354824988182], [-9.13799796110337, 38.735453834972], [-9.13812839827925, 38.7354199619233], [-9.13822727135101, 38.7353974875601], [-9.13832709034875, 38.7353774369998], [-9.13842773579656, 38.735360108053], [-9.13852909720162, 38.7353454944149], [-9.13863106407122, 38.7353335477374], [-9.13873356903165, 38.7353244418017], [-9.13880219852273, 38.7353198912859], [-9.13889403958245, 38.735315808855], [-9.13895094605905, 38.7353147626708], [-9.13903943101285, 38.735312025634], [-9.1391084000671, 38.7353103263728], [-9.13921185185187, 38.7353077764298], [-9.13931530453494, 38.7353052264867], [-9.13941875631967, 38.7353026779449], [-9.13952220900274, 38.7353001280017], [-9.13962566078748, 38.7352975780583], [-9.13972911347054, 38.7352950281148], [-9.13983256525531, 38.7352924781713], [-9.13993601883668, 38.7352899282277], [-9.14003947062145, 38.735287378284], [-9.1401774069333, 38.7352839776581], [-9.14028085961636, 38.7352814270134], [-9.14037234134998, 38.735279262469], [-9.14037936437885, 38.7352790900903], [-9.14050012041091, 38.7352761337247], [-9.14073725498467, 38.7352703275037], [-9.14087518680497, 38.7352668617095], [-9.14097863589478, 38.735264262714], [-9.14111656771507, 38.7352607976202], [-9.14122001680489, 38.7352581979239], [-9.1413234658947, 38.7352555989281], [-9.14141494672998, 38.7352533860328], [-9.14160177295286, 38.7352481558074], [-9.14162567083438, 38.7352474866132]]]",[-9.13911292 38.73541842],Pista Ciclável Bidirecional,Avenida Rovisco Pais,"(38.73541842049442, -9.139112916704695)",Arroios,Lisboa,Lisboa
195,668,"[[[-9.12534461809973, 38.7433029594646], [-9.12467007494952, 38.7440376704536]]]",[-9.12500735 38.74367031],Pista Ciclável Bidirecional,Ponte da Belavista,"(38.743670314959104, -9.125007346524626)",None,Lisboa,Lisboa
196,683,"[[[-9.09685009681333, 38.7814630777014], [-9.09684682065748, 38.7814646127004], [-9.09683809492915, 38.7814694131867], [-9.09683009223027, 38.7814749263243], [-9.09682372885786, 38.781480309684], [-9.09681805480546, 38.7814861425987], [-9.09681336380302, 38.781492029794], [-9.09680967532047, 38.7814977027053], [-9.09680921089147, 38.7814985045178], [-9.09679773132046, 38.7815187578087], [-9.09676039733726, 38.7815846247313], [-9.0967310655466, 38.7816363713183], [-9.09672589089006, 38.7816479110801], [-9.09672312900991, 38.7816599444747], [-9.09672284979096, 38.7816721670166], [-9.09672506029838, 38.7816842694347], [-9.09672970459893, 38.7816959454974], [-9.09673244446054, 38.781700797675], [-9.09673785770845, 38.7817095461594], [-9.09676914782642, 38.7817601063978], [-9.09680885336199, 38.7818242686409], [-9.09682234246431, 38.781846064533], [-9.09682774534013, 38.781853660176], [-9.09683421639571, 38.7818607302761], [-9.09684400588471, 38.7818689302384], [-9.09685523107271, 38.7818759234713], [-9.09686764963118, 38.7818815590058], [-9.0968809934692, 38.7818857151827], [-9.09703829476364, 38.7819244869731], [-9.0970541661981, 38.7819283986742], [-9.09707059070457, 38.7819312588367], [-9.09708740158405, 38.7819318730116], [-9.09710409725653, 38.7819302228742], [-9.09711451884223, 38.781927992826], [-9.09712455998038, 38.781924877723], [-9.09721319135957, 38.7818928355188], [-9.09727545988014, 38.7818703246661], [-9.09727647228147, 38.781869957725], [-9.09730146520928, 38.7818609235504], [-9.09730944623231, 38.7818575211564], [-9.09731678488975, 38.7818533311283], [-9.09732335404571, 38.7818484260547], [-9.09732903989525, 38.7818428909115], [-9.0973327808425, 38.7818382265559], [-9.0973358949392, 38.7818332902153], [-9.09733614467083, 38.7818328287376], [-9.09733681122077, 38.7818315528463], [-9.09736643496389, 38.7817722953027], [-9.09740036702712, 38.7817044208768], [-9.09742005270828, 38.7816650418315], [-9.09742339036109, 38.7816562116475], [-9.09742476479953, 38.7816470686869], [-9.09742413644955, 38.781637876202], [-9.09742252845088, 38.7816316015771], [-9.09741998338632, 38.78162551832], [-9.09741653670224, 38.7816197111553], [-9.09739980198681, 38.7815954040187], [-9.09735650588507, 38.7815325160658], [-9.09731850714855, 38.7814773219588], [-9.09731021630655, 38.781467257191], [-9.09730001532843, 38.7814583221454], [-9.09728834458423, 38.7814508407323], [-9.09727533391454, 38.7814448511845], [-9.09726129434641, 38.7814404966856], [-9.09719028791311, 38.7814233112716], [-9.0970859926103, 38.7813980692023], [-9.09707476012813, 38.7813959111389], [-9.09706327871149, 38.7813948060495], [-9.0970517102041, 38.7813947695116], [-9.09703604686829, 38.781396447243], [-9.09702093751573, 38.7814000768877], [-9.09701546767397, 38.7814019312129], [-9.09690897329536, 38.7814411360353], [-9.09689984551376, 38.7814444966478], [-9.09689482752457, 38.7814463439692], [-9.09685699138312, 38.7814602724066], [-9.09685009681333, 38.7814630777014]]]",[-9.09706225 38.78165601],Pista Ciclável Unidirecional,Rotunda das Oliveiras,"(38.78165600827501, -9.097062251428802)",Parque das Nações,Lisboa,Lisboa
197,684,"[[[-9.1358760344011, 38.7170511920988], [-9.13587030225125, 38.7170802390138], [-9.13585687064112, 38.7171484510652], [-9.13584811027049, 38.7171902263586], [-9.1358125774094, 38.7173606334447], [-9.13580403802433, 38.7174047783635], [-9.13580079600447, 38.717426596035], [-9.13579838851951, 38.7174532183792], [-9.1357806908101, 38.7176225398455], [-9.13576447532089, 38.7177852984012], [-9.13575121888226, 38.7179200242218], [-9.13573361639426, 38.7180792432797], [-9.13572319247187, 38.7181605138515], [-9.13571525662649, 38.7182419552373], [-9.13570219152897, 38.7183817034926], [-9.13568898180272, 38.7185230025464], [-9.13567319930151, 38.7186918168379], [-9.13565758209031, 38.7188553789794], [-9.13564190559026, 38.7190194124429], [-9.13562645456738, 38.71917439641], [-9.13561017709444, 38.7193325242022], [-9.13559372624663, 38.7194994659292], [-9.13558193855348, 38.719626516685], [-9.1355777847436, 38.7196687271781], [-9.13556610394995, 38.7197918393968]]]",[-9.13572222 38.71825959],Pista Ciclável Bidirecional,Rua da Palma,"(38.718259587747845, -9.135722224539872)",Arroios,Lisboa,Lisboa
198,691,"[[[-9.11779135783301, 38.7528254899955], [-9.1177850678715, 38.7527838492406], [-9.11777550791954, 38.752742589012], [-9.11776271306757, 38.7527018649515], [-9.11772339203552, 38.7525868427225], [-9.11767710555096, 38.7524523360392], [-9.11763177528093, 38.7523206811111], [-9.11758521903861, 38.7521885607241], [-9.11754224860072, 38.7520621800484], [-9.11754176172085, 38.7520609913508], [-9.11754103578736, 38.752059878764], [-9.11754009053861, 38.7520588722194], [-9.11753894790613, 38.7520579982273], [-9.11753764078721, 38.7520572790224], [-9.11753619988599, 38.7520567334188], [-9.11753466687236, 38.7520563768095], [-9.11753307902991, 38.7520562177463], [-9.1175314802217, 38.75205625965], [-9.11749007788788, 38.7520653724282], [-9.11734017591115, 38.7520972714186], [-9.11730751986969, 38.7521042205922], [-9.11726289798793, 38.7521135172275], [-9.11726086493552, 38.7521140123752], [-9.11725896566541, 38.75211475809], [-9.11725724404066, 38.752115736413], [-9.11725575269692, 38.7521169199786], [-9.11725452672465, 38.7521182771453], [-9.11725360121427, 38.7521197719954], [-9.11725300029047, 38.7521213643358], [-9.11725274149847, 38.7521230122626], [-9.11725282922458, 38.7521246704516], [-9.11726346162813, 38.7521545657357], [-9.11727704820817, 38.7521937294113], [-9.11729829327692, 38.7522542570709], [-9.11730068600635, 38.7522700983459], [-9.11729992936872, 38.7522860388178], [-9.1172960431024, 38.7523016987887], [-9.11728911712665, 38.7523167071127], [-9.11727931592791, 38.7523307080375], [-9.1172668741735, 38.7523433689008], [-9.11725779013564, 38.752350575458], [-9.11724543610733, 38.7523567438326], [-9.1172319876959, 38.7523613121751], [-9.11721778264684, 38.7523641658924], [-9.11720317844402, 38.7523652340054], [-9.1171885413439, 38.7523644882932], [-9.11717423979613, 38.7523619484249], [-9.11716063128456, 38.7523576776832], [-9.117148057941, 38.752351784675], [-9.1171312386541, 38.752341226688], [-9.1169493561269, 38.7522268332876], [-9.11690060892519, 38.7521967396327], [-9.11684815748882, 38.7521707106207], [-9.11679255229909, 38.752149021623], [-9.11679246895929, 38.7521489934021], [-9.11679240097157, 38.7521489711675], [-9.11675840272075, 38.7521364240083], [-9.11672590239312, 38.7521216576616], [-9.11669514123547, 38.7521047790232], [-9.11641268731182, 38.7519222890198], [-9.11639179972694, 38.7519103960334], [-9.11635677069443, 38.7518932710532], [-9.11632476821243, 38.7518801748233], [-9.11628987515538, 38.7518687718483], [-9.11624548574778, 38.7518573637404], [-9.11619986378845, 38.7518494413472], [-9.11615345887367, 38.7518450850568], [-9.11609860154896, 38.7518436534842], [-9.11604384291611, 38.7518465782023], [-9.11598974880849, 38.7518538292791], [-9.1159830465343, 38.7518551385606], [-9.11596770323906, 38.75185662743], [-9.11595225467251, 38.7518560937973], [-9.11593713946514, 38.7518535539109], [-9.11592278308855, 38.7518490778954], [-9.11590958688966, 38.7518427923172], [-9.1158092984099, 38.7517659234994], [-9.11563706356076, 38.7516350959779], [-9.1155959770409, 38.7516062925456], [-9.11555170387039, 38.7515805198735], [-9.11551307587454, 38.7515631587833], [-9.11547283810473, 38.7515481870737], [-9.11543123180772, 38.751535695396], [-9.11533975322174, 38.7515133066642], [-9.11524654862471, 38.7514957779414], [-9.11519722681703, 38.7514891853207], [-9.11514732163078, 38.7514863366995], [-9.11509729582113, 38.7514872602993], [-9.11488405559878, 38.75149572492], [-9.11473622834436, 38.7515024475282], [-9.11461880257057, 38.751506532746], [-9.11452501678811, 38.7515061804098], [-9.11443127925501, 38.7515038175343], [-9.11441554338547, 38.751506653327], [-9.11440052029051, 38.7515112756005], [-9.11438653894301, 38.7515175825876], [-9.11437391296379, 38.7515254348925], [-9.1143629164969, 38.7515346597676], [-9.1142603186275, 38.751621558426], [-9.1142532193927, 38.7516276285175], [-9.11424490515139, 38.7516326740989], [-9.11423561495719, 38.7516365497894], [-9.11422561856787, 38.75163914356], [-9.11421520328642, 38.7516403792997], [-9.11420466957472, 38.7516402236564], [-9.114194322281, 38.7516386800507], [-9.11418445967398, 38.751635792097], [-9.11417536686352, 38.7516316444583], [-9.11416730264159, 38.7516263568599], [-9.11416050386869, 38.7516200806691], [-9.11415516573538, 38.7516129980397], [-9.11415144176236, 38.7516053125052], [-9.11411939322415, 38.7515321754568], [-9.11406569169084, 38.7514110761026], [-9.11401348369441, 38.7512880575024], [-9.11401144625569, 38.7512840004933], [-9.11400873990544, 38.7512801872124], [-9.11400541508618, 38.7512766852196], [-9.11399916460141, 38.751274201755], [-9.11399246013407, 38.7512725999887], [-9.11398549906788, 38.751271926956], [-9.11397849413864, 38.7512722040368], [-9.1139287315073, 38.7512782048878], [-9.11364770313281, 38.7513120942504], [-9.11359037631832, 38.7513125748655], [-9.11353343330554, 38.7513130520599], [-9.11350005133059, 38.7513133308509], [-9.11349759938604, 38.7513131025159], [-9.11349523297444, 38.7513125577618], [-9.11349301569721, 38.7513117128369], [-9.11349100896263, 38.7513105908314], [-9.11348927198581, 38.7513092242424], [-9.11348785301611, 38.7513076498428], [-9.11348678933712, 38.7513059129577], [-9.11348611384614, 38.7513040614774], [-9.11348584189522, 38.7513021484237], [-9.11348571469238, 38.7512967453506], [-9.11348439222139, 38.7512453391691], [-9.11348017259588, 38.7510810650807], [-9.11347823165588, 38.7510039346095], [-9.11347641353242, 38.7509349540315], [-9.11347478402007, 38.7508636301595], [-9.11347478182692, 38.7508635985174], [-9.11347277728549, 38.7507883073321], [-9.11347277509234, 38.7507879703859], [-9.11347098986616, 38.7507560921903], [-9.11346466481421, 38.7507245671757], [-9.11345388108313, 38.7506937878767], [-9.11345378458441, 38.750693551843], [-9.11344205121828, 38.7506690470952], [-9.1134267605587, 38.7506457669784], [-9.11340812095519, 38.7506240219297], [-9.11338588019519, 38.7506044071666], [-9.11336024004873, 38.7505875050791], [-9.1133294087102, 38.7505720687935], [-9.11329648291098, 38.7505595333299], [-9.11326191224735, 38.7505500688739], [-9.11322340268174, 38.7505455089674], [-9.11318450931443, 38.7505438421898], [-9.11317041172985, 38.750544086776], [-9.11311903274508, 38.7505450120984], [-9.11304301149827, 38.7505463889644], [-9.11301341490462, 38.7505466369713]]]",[-9.11542562 38.75166663],Pista Ciclável Bidirecional,Parque hortícola do Vale de Chelas - Parque Vale Fundão,"(38.75166663402591, -9.115425623459181)",Marvila,Lisboa,Lisboa
