X,Y,gid,Estado de Conservação,Tipo de Abrigo,Abrigo com Publicidade?,Tem Bolsa?,Operadora,Carreira,Código de Rua,Nome da Rua,Freguesia,Observações,Data da Observação
-9.28186912830116,38.7095107186163,304,Bom,Sem Abrigo,Não,Não,LT,158,858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.28225255033964,38.709447048745,303,Bom,Sem Abrigo,Não,Não,LT,158,858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29308554409381,38.7089144522438,279,Bom,Fechado dos Lados,Sim,Não,LT,"129,184",858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.27380861727828,38.7077817726098,274,Bom,Fechado dos Lados,Não,Não,LT,"108,115,117,158",858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.27381699616063,38.7078605092097,273,Bom,Sem Abrigo,Não,Não,LT,"108,115,117,158",858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31159668360594,38.6898348421701,510,Bom,Sem Abrigo,Não,Não,COMBUS,n/a,538,Avenida Carlos Silva,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32130366672151,38.6837411005459,942,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,476,561,Rua Dona Filipa de Lencastre,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32130366672151,38.6837411005459,941,Bom,Fechado dos Lados,Sim,Não,LT,106,561,Rua Dona Filipa de Lencastre,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31978687204492,38.6832536527326,940,Razoável,Sem Abrigo,Não,Não,COMBUS,n/a,561,Rua Dona Filipa de Lencastre,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31959669605746,38.683301466116,939,Razoável,Fechado dos Lados,Sim,Sim,SCoTTURB,471,561,Rua Dona Filipa de Lencastre,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31959669605746,38.683301466116,938,Razoável,Fechado dos Lados,Sim,Não,COMBUS,n/a,561,Rua Dona Filipa de Lencastre,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32130366672151,38.6837411005459,586,Bom,Fechado dos Lados,Sim,Não,COMBUS,n/a,561,Rua Dona Filipa de Lencastre,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31959669605746,38.683301466116,585,Razoável,Fechado dos Lados,Sim,Sim,LT,106,561,Rua Dona Filipa de Lencastre,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31110682027105,38.6888525219381,496,Razoável,Sem Abrigo,Não,Não,COMBUS,n/a,1363,Rua José Falcão,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30958571570134,38.6891759031174,588,Razoável,Sem Abrigo,Não,Não,COMBUS,n/a,574,Avenida Duarte Pacheco,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.312031441924,38.6956374324469,919,Bom,Fechado dos Lados,Sim,Não,LT,111,578,Avenida Embaixador Augusto de Castro,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30940090773876,38.6957094148467,557,Bom,Fechado dos Lados,Sim,Sim,n/a,n/a,578,Avenida Embaixador Augusto de Castro,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",Paragem sem placas de operadora,2012/07
-9.30998656441422,38.6958232353357,518,Bom,Fechado dos Lados,Sim,Não,LT,"106,112,115,122",578,Avenida Embaixador Augusto de Castro,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.312031441924,38.6956374324469,502,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,471,578,Avenida Embaixador Augusto de Castro,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.324342691967,38.6979612430969,376,Bom,Sem Abrigo,Não,Não,SCoTTURB,479,1315,Rua das Escolas,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.32421617206943,38.6979910867197,375,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,479,1315,Rua das Escolas,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.22669175869732,38.7213919663878,47,Razoável,Sem Abrigo,Não,Não,COMBUS,n/a,1183,Rua João Pedro de Andrade,Carnaxide e Queijas,n/a,2012/07
-9.27252640283019,38.7097995042668,319,Bom,Fechado dos Lados,Sim,Sim,LT,"108,117,115,158",909,Avenida João de Freitas Branco,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.27247687659649,38.7095620005977,318,Bom,Fechado dos Lados,Sim,Sim,LT,"108,117,115,158",909,Avenida João de Freitas Branco,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.27180880625651,38.7107860046917,317,Bom,Fechado dos Lados,Sim,Não,LT,"108,117,115,158",909,Avenida João de Freitas Branco,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30307476447071,38.6976805586599,960,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,471,527,Avenida de Brasília,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30515698964787,38.6974686495868,554,Bom,Fechado dos Lados,Sim,Não,LT,"111,115",527,Avenida de Brasília,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30522069660133,38.6975618723003,553,Bom,Fechado dos Lados,Sim,Não,LT,"111,115",527,Avenida de Brasília,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30310112192319,38.6975768853088,552,Bom,Fechado dos Lados,Sim,Não,LT,"111,115",527,Avenida de Brasília,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30307476447071,38.6976805586599,551,Bom,Fechado dos Lados,Sim,Não,LT,"111,115",527,Avenida de Brasília,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
