name,Lat,Long,type,lun,mar,mer,gio,ven,sab,dom
Soncin Tappezziere Restauro mobili', '45.057078', '7.6795666', 'resturant',"11AM–15, 18–12AM ","11AM–15, 18–12AM ","11AM–15, 18–12AM ","11AM–15, 18–12AM ","11AM–15, 18–12AM ",,"11AM–15, 18–12AM "
Hotel Romano', '45.0566462', '7.6794453', 'public place',nan,nan,nan,nan,nan,nan,nan
Masjid Omar Ibn al Khattab',45.05991029,7.67850557, 'public place',nan,nan,nan,nan,nan,nan,nan
'Vigili Urbani',45.0596937,7.679309576, 'public place',nan,nan,nan,nan,nan,nan,nan
Selfie',45.0591133,7.678940102, 'public place',nan,nan,nan,nan,nan,nan,nan
Gattabuia',45.05903771,7.67892813, 'pub',x,21–2AM,21–2AM,21–2AM,21–2AM,21–3AM,21–2AM
Amsterdam Chips',45.0588264,7.678816432, 'pub',nan,nan,nan,nan,nan,nan,nan
Bar Roma',45.05875033,7.678806461, 'pub',nan,nan,nan,nan,nan,nan,nan
'Dash Kitchen',45.0586048,7.678803202, 'pub',17–3AM,17–3AM,17–3AM,17–3AM,17–3AM,17–3AM,17–3AM
ABUDA kebab-Pizza',45.05844724,7.678490582, 'pub',x,17–1:30AM,17–1:30AM,17–1:30AM,17–2:30AM,17–2:30AM,17–1:30AM
Farmacia San Salvatore',45.05849438,7.678179719, 'pub',x,11AM–4AM,11AM–4AM,11AM–4AM,11AM–4AM,11AM–4AM,11AM–4AM
Ninfee S.r.l.',45.05863953,7.677716058, 'public place',"8:45AM–12:417, 3:30–19","8:45AM–12:417, 3:30–19","8:45AM–12:417, 3:30–19","8:45AM–12:417, 3:30–19","8:45AM–12:417, 3:30–19",8:45AM–12:417,"8:45AM–12:417, 3:30–19"
Trattoria AlleVolte',45.05871769,7.677924468, 'restaurant',nan,nan,nan,nan,nan,nan,nan
MONEYGRAM TORINO',45.05877352,7.677826704, 'pub',x,"12–15, 7–13","12–15, 7–13","12–15, 7–13","12–15, 7–13","12–15, 7–13","12–15, 7–13"
Minimarket Nizza 25/B',45.05898194,7.678111223, 'public place',9AM–20,9AM–20,9AM–20,9AM–20,9AM–20,9AM–20,11AM–18
Sushi mori',45.05905142,7.677891687, 'public place',nan,nan,nan,nan,nan,nan,nan
CafÃ¨ Nice 23',45.05918788,7.67817445, 'restaurant',"12–15, 7–13","12–15, 7–13","12–15, 7–13","12–15, 7–13","12–15, 7–13","12–15, 7–13","12–15, 7–13"
Turkish Kebap',45.05919285,7.678053266, 'restaurant',nan,nan,nan,nan,nan,nan,nan
CartaPazza di Elena Marsico',45.05995715,7.678530146, 'restaurant',nan,nan,nan,nan,nan,nan,nan
