X,Y,OBJECTID,CATEGORY,SUBCATEGORY,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CREATE_DATE,UPDATE_DATE,TRAFFICCONTROLID,INSTALLATION_DATE,OWNERSHIP
-80.4369008496059,43.4732732004287,138,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,210,1970/01/01 00:00:00+00,REGION
-80.44931260976,43.4689775733923,139,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,211,1970/01/01 00:00:00+00,REGION
-80.4492100241815,43.4572421141627,140,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,212,1970/01/01 00:00:00+00,REGION
-80.4443342926884,43.4508812741706,141,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,213,1970/01/01 00:00:00+00,REGION
-80.5451862704102,43.4440130150931,142,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,214,1970/01/01 00:00:00+00,REGION
-80.5424142155293,43.4426133927457,143,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,215,1970/01/01 00:00:00+00,REGION
-80.5290280076778,43.4364509661298,144,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,216,1970/01/01 00:00:00+00,REGION
-80.5238648298714,43.4383949785476,145,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,217,1970/01/01 00:00:00+00,REGION
-80.5209992351885,43.4394804177352,146,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 14:57:44+00,218,1970/01/01 00:00:00+00,REGION
-80.5225789170487,43.4433896104432,147,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,219,1970/01/01 00:00:00+00,REGION
