OBJECTID,ACTIVETRANSPORTID,STATUS,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,ROUTE_NAME_1,ROUTE_NAME_2,ROUTE_NAME_PROPOSED,WIDTH_M,GRADE,RAILING,CURBCUT,STREET,ROADSEGMENTID,ROADSEGMENT_SIDE,WARD,OWNERSHIP,MAINTAINED_BY,INSTALLATION_YEAR,LAST_INSPECTION_YEAR,SURFACE_CONDITION,WAYFINDING,WINTER_MAINTAINED_BY,SIDEWALKER_PROGRAM,UPGRADE_YEAR,FACILITY_TYPE,Shape__Length
43975,336176,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SECORD AVE,11567,RIGHT,1,UNKNOWN,UNKNOWN,1960,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,3.51498943536221
43976,336177,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,SECORD AVE,11567,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,3.00153358939413
43977,336178,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,RIVER RD E,11574,RIGHT,1,UNKNOWN,UNKNOWN,1960,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,4.33823772619998
43978,336179,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,RIVER RD E,11574,LEFT,1,UNKNOWN,UNKNOWN,1970,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,5.91165983910625
43979,336180,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,BRECKENRIDGE DR,11557,LEFT,1,UNKNOWN,UNKNOWN,1970,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,4.47788664897366
43981,336189,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,MONTCALM DR,23197,RIGHT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,0.729850011667945
43982,336190,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,BISHOP CRT,23221,LEFT,1,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,0.928724311996038
43983,336191,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,OTTAWA ST N,23200,LEFT,1,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,2.38808383466183
43984,336192,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,OTTAWA ST N,23200,LEFT,2,KITCHENER,UNKNOWN,2016,2020,UNKNOWN,X,,Y,,NA,3.35006366784384
43985,336195,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,BLACKFRIARS PL,22937,LEFT,2,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,1.0241571848527
43986,336196,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,BLACKFRIARS PL,22937,RIGHT,2,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,0.813196777635013
43991,337029,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,EDGEWATER CRES,601148,RIGHT,2,UNKNOWN,UNKNOWN,2012,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,50.048200767387
