OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
58453,12377,Arterial,MAJOR,BRIDGEPORT RD,LEANDER PL,MACKIE PL,450,486,459,495,REGIONAL RD  9,4,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,203.612178452816
58454,12593,Arterial,MAJOR,BRIDGEPORT RD,WATERLOO BOUNDARY,LANG CRES,420,420,,,REGIONAL RD  9,4,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,44.9049359066081
58455,12417,Arterial,MAJOR,BRIDGEPORT RD,MACKIE PL,LANCASTER ST W,502,544,527,543,REGIONAL RD  9,4,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,280.49260356468
58457,6780,Arterial,MAJOR,VICTORIA ST N,MARGARET AVE,ELLEN ST W,204,236,231,231,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 374,2003/04/22 00:00:00+00,,,,24HR,140.463021190278
58483,13270,Arterial,MAJOR,WEBER ST E,MONTGOMERY RD,SHANTZ LANE,,,,,REGIONAL RD  8,4,REG,TwoWay,58R-1998,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,225.136459916357
58490,13112,Arterial,MAJOR,BRIDGE ST E,LANCASTER ST W,TYSON DR,1,7,2,8,REGIONAL RD 52,2,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,243.138214913655
58491,11639,Arterial,MAJOR,OTTAWA ST S,KEHL ST,IMPERIAL DR,507,507,,,REGIONAL RD  4,4,REG,TwoWay,MCP 791,2003/04/22 00:00:00+00,,,,24HR,76.4248075233848
58492,11628,Arterial,MAJOR,OTTAWA ST S,ALPINE RD,STRASBURG RD,715,751,730,750,REGIONAL RD  4,6,REG,TwoWay,REG PLAN 1246,2002/08/13 00:00:00+00,,,,24HR,428.42486430218
58496,602289,Arterial,MAJOR,NEW DUNDEE RD,HOMER WATSON BLVD,CONESTOGA COLLEGE BLVD,,,,,REGIONAL RD 12,3,REG,TwoWay,REGION,2007/10/03 00:00:00+00,,,,24HR,147.590590607852
58506,40290,Arterial,MAJOR,WESTMOUNT RD W,FORSYTH DR,END,,,800,806,REGIONAL RD 50,4,REG,TwoWay,GIS STAFF,2003/07/29 00:00:00+00,,,,NO ACCESS,53.4433487998779
