X,Y,OBJECTID,ROADSANDBOXID,CREATE_DATE,UPDATE_DATE,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,ROAD_SAND_BOX_NUM,ADDRESS,LOCATION,DATE_CHECKED,FILLED,STREET,CATEGORY,PUBLIC_ACCESS
-80.4590213817628,43.4420516912118,367,60079,2016/01/21 11:55:47+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:55:47+00,81,96 Fairmount Rd,To the right of driveway at the hydro pole,1970/01/01 00:00:00+00,Y,FAIRMOUNT RD,SAND,Y
-80.4540541377938,43.4620221521747,368,60080,2016/01/21 11:56:28+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:56:28+00,16,139 Avon Rd,139 Avon Rd,1970/01/01 00:00:00+00,Y,AVON RD,SAND,Y
-80.4434958066256,43.4707649589354,641,60088,2016/01/21 12:08:33+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:09:01+00,OPERATIONS,2016/01/21 12:08:33+00,287,1421 Victoria St N,On Smetana Dr,1970/01/01 00:00:00+00,Y,VICTORIA ST N,SAND,Y
-80.4420195216839,43.4680150528578,642,60089,2016/01/21 12:09:16+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 16:19:43+00,OPERATIONS,2016/01/21 12:09:16+00,175,24 Marketa Cres,On Smetana Dr,1970/01/01 00:00:00+00,Y,MARKETA CRES,SAND,Y
-80.4431010615164,43.4699236241461,643,60090,2016/01/21 12:09:51+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:39:53+00,OPERATIONS,2016/01/21 12:09:51+00,248,2 Smetana Dr,At pathway,1970/01/01 00:00:00+00,Y,SMETANA DR,SAND,Y
-80.4412591195599,43.469529880943,644,60091,2016/01/21 12:10:27+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:09:01+00,OPERATIONS,2016/01/21 12:10:27+00,265,142 Sunrise Pl,Beside mailbox,1970/01/01 00:00:00+00,Y,SUNRISE PL,SAND,Y
-80.4447763210331,43.4660639647995,645,60099,2016/01/21 12:11:30+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/21 12:11:30+00,177,113 Matthew St,On blvd across from open area,1970/01/01 00:00:00+00,Y,MATTHEW ST,SAND,Y
-80.4344895228708,43.4625233617427,647,60103,2016/01/21 12:32:00+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:24:26+00,OPERATIONS,2016/01/21 12:32:00+00,293,170 Westchester Dr,On Westchester Pl by stop sign,1970/01/01 00:00:00+00,Y,WESTCHESTER DR,SAND,Y
-80.4312138567566,43.461622825889,648,60107,2016/01/21 13:03:47+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 13:03:47+00,64,83 Denlow St,Blvd in front of 83 Brembel St,1970/01/01 00:00:00+00,Y,DENLOW ST,SAND,Y
-80.4290943902916,43.4650659799871,649,60108,2016/01/21 13:05:21+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 16:19:43+00,OPERATIONS,2016/01/21 13:05:21+00,106,3 Gloucester Crt,On Stanmore Ave,1970/01/01 00:00:00+00,Y,GLOUCESTER CRT,SAND,Y
-80.4303339009299,43.4619216304992,650,60109,2016/01/21 13:05:52+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 16:19:43+00,OPERATIONS,2016/01/21 13:05:52+00,269,3 Tami Crt,On Denlow St,1970/01/01 00:00:00+00,Y,TAMI CRT,SAND,Y
-80.4264903585829,43.4563618716868,651,60110,2016/01/21 13:07:39+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/21 13:07:39+00,78,128 Ebydale Dr,On left side of driveway,1970/01/01 00:00:00+00,Y,EBYDALE DR,SAND,Y
-80.4018169883646,43.4442019382191,652,60111,2016/01/21 13:08:14+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:13:39+00,OPERATIONS,2016/01/21 13:08:14+00,95,154 Woolner Trail,At pumping station,1970/01/01 00:00:00+00,Y,WOOLNER TRAIL,SAND,Y
-80.4240247756024,43.4403025013719,653,60112,2016/01/21 13:08:33+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:09:01+00,OPERATIONS,2016/01/21 13:08:33+00,236,14 Sandwell Crt,Beside driveway,1970/01/01 00:00:00+00,Y,SANDWELL CRT,SAND,Y
-80.424963565369,43.4408185797866,654,60113,2016/01/21 13:10:05+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 13:10:05+00,275,6 Tisdale Crt,Beside driveway,1970/01/01 00:00:00+00,Y,TISDALE CRT,SAND,Y
-80.4134965168215,43.4382067236571,655,60114,2016/01/21 13:11:58+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 13:11:58+00,247,Sims Estate Pl,At Sims Estate Dr,1970/01/01 00:00:00+00,Y,SIMS ESTATE PL,SAND,Y
-80.42609632659,43.4375838118735,656,60115,2016/01/21 13:14:16+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 13:14:16+00,196,Old Chicoppe Trail,Halfway up hill on Old Chicopee Trail,1970/01/01 00:00:00+00,Y,OLD CHICOPEE TRAIL,SAND,Y
-80.428725748867,43.4422260616982,657,60116,2016/01/21 13:14:55+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 16:19:43+00,OPERATIONS,2016/01/21 13:14:55+00,197,284 Old Chicopee Trail,Placed across the street,1970/01/01 00:00:00+00,Y,OLD CHICOPEE TRAIL,SAND,Y
-80.4305503653926,43.4375665054143,658,60117,2016/01/21 13:15:20+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:45:55+00,OPERATIONS,2016/01/21 13:15:20+00,286,200 Veronica Dr,In front of house,1970/01/01 00:00:00+00,Y,VERONICA DR,SAND,Y
-80.4281091280006,43.4367225567859,659,60118,2016/01/21 13:15:38+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 13:15:38+00,23,Bettina Pl,Near stop sign,1970/01/01 00:00:00+00,Y,BETTINA PL,SAND,Y
-80.426355779148,43.43532692036,660,60119,2016/01/21 13:16:34+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 13:16:34+00,238,North Hill Pl,On Scenic Dr in front of stop sign,1970/01/01 00:00:00+00,Y,SCENIC DR,SAND,Y
-80.4241634180342,43.4346115276183,661,60120,2016/01/21 13:17:21+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/21 13:17:21+00,193,109 North Hill Pl,Beside hydro pole,1970/01/01 00:00:00+00,Y,NORTH HILL PL,SAND,Y
-80.4285004538595,43.4334471216456,662,60121,2016/01/21 13:17:44+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:39:53+00,OPERATIONS,2016/01/21 13:17:44+00,47,2 Chicopee Park Crt,Beside hydro pole,1970/01/01 00:00:00+00,Y,CHICOPEE PARK CRT,SAND,Y
-80.4320280682231,43.4322263350452,664,60123,2016/01/21 13:20:17+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:54:39+00,OPERATIONS,2016/01/21 13:20:17+00,138,137 Jansen Ave,At side of house between blvd trees,1970/01/01 00:00:00+00,Y,JANSEN AVE,SAND,Y
-80.4290749427615,43.4323594056552,665,60124,2016/01/21 13:27:09+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 16:19:43+00,OPERATIONS,2016/01/21 13:27:09+00,270,251 Thaler Ave,Beside driveway,1970/01/01 00:00:00+00,Y,THALER AVE,SAND,Y
